Entity,Code,Year,Buddhists,Hindus,Muslims,Jews,Christians,No religion,Other religions
Germany,DEU,2020,290000,130000,5480000,120000,47030000,30230000,360000
Ghana,GHA,2010,< 10000,< 10000,4500000,< 10000,18110000,1340000,1520000
Ghana,GHA,2020,< 10000,< 10000,6340000,< 10000,22730000,340000,2480000
Greece,GRC,2010,< 10000,< 10000,500000,< 10000,10150000,410000,50000
Greece,GRC,2020,< 10000,< 10000,550000,< 10000,9570000,510000,50000
Grenada,GRD,2010,< 10000,< 10000,< 10000,< 10000,100000,< 10000,< 10000
Grenada,GRD,2020,< 10000,< 10000,< 10000,< 10000,100000,< 10000,< 10000
Guadeloupe,GLP,2010,< 10000,< 10000,< 10000,< 10000,390000,10000,< 10000
Guadeloupe,GLP,2020,< 10000,< 10000,< 10000,< 10000,390000,10000,< 10000
Guam,GUM,2010,< 10000,< 10000,< 10000,< 10000,160000,< 10000,< 10000
Guam,GUM,2020,< 10000,< 10000,< 10000,< 10000,150000,< 10000,< 10000
Guatemala,GTM,2010,< 10000,< 10000,< 10000,< 10000,13480000,880000,130000
Guatemala,GTM,2020,< 10000,< 10000,< 10000,< 10000,15960000,1050000,350000
Guinea,GIN,2010,< 10000,< 10000,9140000,< 10000,880000,350000,20000
Guinea,GIN,2020,10000,< 10000,11610000,< 10000,1570000,180000,10000
Guinea-Bissau,GNB,2010,< 10000,< 10000,840000,< 10000,410000,40000,280000
Guinea-Bissau,GNB,2020,< 10000,< 10000,1130000,< 10000,440000,230000,220000
Guyana,GUY,2010,< 10000,190000,50000,< 10000,480000,20000,< 10000
Guyana,GUY,2020,< 10000,190000,50000,< 10000,530000,20000,10000
Haiti,HTI,2010,< 10000,< 10000,< 10000,< 10000,8930000,750000,130000
Haiti,HTI,2020,< 10000,< 10000,< 10000,< 10000,9980000,1060000,210000
Honduras,HND,2010,10000,< 10000,< 10000,< 10000,7540000,800000,20000
Honduras,HND,2020,< 10000,< 10000,< 10000,< 10000,8950000,990000,180000
Hong Kong,HKG,2010,840000,< 10000,< 10000,< 10000,1320000,4840000,80000
Hong Kong,HKG,2020,630000,20000,20000,< 10000,1400000,5340000,70000
Hungary,HUN,2010,10000,< 10000,< 10000,20000,7240000,2490000,210000
Hungary,HUN,2020,20000,< 10000,10000,10000,7060000,2630000,10000
